Fecha,Atributo,Valor
01/01/1964 00:00,Cabanillas,46
01/02/1964 00:00,Cabanillas,94.3
01/03/1964 00:00,Cabanillas,139.7
01/04/1964 00:00,Cabanillas,41
01/05/1964 00:00,Cabanillas,13
01/06/1964 00:00,Cabanillas,0
01/07/1964 00:00,Cabanillas,0
01/08/1964 00:00,Cabanillas,0
01/09/1964 00:00,Cabanillas,1.5
01/10/1964 00:00,Cabanillas,27.4
01/11/1964 00:00,Cabanillas,29
01/12/1964 00:00,Cabanillas,77.1
01/01/1965 00:00,Cabanillas,157.6
01/02/1965 00:00,Cabanillas,105.5
01/03/1965 00:00,Cabanillas,88.2
01/04/1965 00:00,Cabanillas,74.4
01/05/1965 00:00,Cabanillas,5
01/06/1965 00:00,Cabanillas,0
01/07/1965 00:00,Cabanillas,0
01/08/1965 00:00,Cabanillas,0
01/09/1965 00:00,Cabanillas,12.2
01/10/1965 00:00,Cabanillas,12
01/11/1965 00:00,Cabanillas,13.2
01/12/1965 00:00,Cabanillas,60.9
01/01/1966 00:00,Cabanillas,25.1
01/02/1966 00:00,Cabanillas,156.2
01/03/1966 00:00,Cabanillas,81.5
01/04/1966 00:00,Cabanillas,3.1
01/05/1966 00:00,Cabanillas,31
01/06/1966 00:00,Cabanillas,0
01/07/1966 00:00,Cabanillas,0
01/08/1966 00:00,Cabanillas,1
01/09/1966 00:00,Cabanillas,9.5
01/10/1966 00:00,Cabanillas,21.9
01/11/1966 00:00,Cabanillas,49
01/12/1966 00:00,Cabanillas,60.7
01/01/1967 00:00,Cabanillas,71.2
01/02/1967 00:00,Cabanillas,92.8
01/03/1967 00:00,Cabanillas,148.9
01/04/1967 00:00,Cabanillas,7.3
01/05/1967 00:00,Cabanillas,13.7
01/06/1967 00:00,Cabanillas,0.6
01/07/1967 00:00,Cabanillas,9.5
01/08/1967 00:00,Cabanillas,15.6
01/09/1967 00:00,Cabanillas,40
01/10/1967 00:00,Cabanillas,31.8
01/11/1967 00:00,Cabanillas,4.2
01/12/1967 00:00,Cabanillas,131
01/01/1968 00:00,Cabanillas,95.7
01/02/1968 00:00,Cabanillas,168.5
01/03/1968 00:00,Cabanillas,52.4
01/04/1968 00:00,Cabanillas,8.7
01/05/1968 00:00,Cabanillas,16.1
01/06/1968 00:00,Cabanillas,0
01/07/1968 00:00,Cabanillas,2.2
01/08/1968 00:00,Cabanillas,0
